"brood_year","hatchery_location_name","tag_code","Total_Released","Phi"
2017,"FEATHER R HATCHERY","68676",328540,0.242938454982651
2017,"FEATHER R HATCHERY","61459",336600,0.248401663695781
2020,"FEATHER R HATCHERY","62371",67861,0.248434299524027
2020,"FEATHER R HATCHERY","62299",341988,0.248225083921073
2017,"FEATHER R HATCHERY","61460",316949,0.248308087421005
2017,"FEATHER R HATCHERY","61461",331760,0.25103387991319
2012,"FEATHER R HATCHERY","608000807",10080,1
2020,"FEATHER R HATCHERY","62340",344168,0.249558355221868
2013,"FEATHER R HATCHERY","60446",4536,0.958994708994709
2017,"FEATHER R HATCHERY","61463",334093,0.2485924577887
2020,"FEATHER R HATCHERY","62341",345676,0.248084911882804
2013,"FEATHER R HATCHERY","60452",31381,0.958860456964405
2020,"FEATHER R HATCHERY","62342",345966,0.248917523687299
2017,"FEATHER R HATCHERY","61464",337550,0.244319360094801
2016,"FEATHER R HATCHERY","60975",528912,0.249330701515564
2020,"FEATHER R HATCHERY","62298",343188,0.2465529097754
2020,"FEATHER R HATCHERY","62376",122063,0.248625709674512
2015,"FEATHER R HATCHERY","60737",1015693,0.245518084696852
2020,"FEATHER R HATCHERY","62345",1047122,0.246848982258037
1994,"FEATHER R HATCHERY","63820",40942,1
